team,name,number,position,overall
Atletico Ottawa,Nacho Zabal,0,g,0.0
Atletico Ottawa,Brandon John,0,d,0.0
Atletico Ottawa,Gianfranco Facchineri,0,d,0.0
Atletico Ottawa,Vashon Neufville,0,d,0.0
Atletico Ottawa,Ben Fisk,0,m,0.49
Atletico Ottawa,Ajay Khabra,0,m,0.36
Atletico Ottawa,Malyk Hamilton,0,m,0.22
Atletico Ottawa,Antoine Coupland,0,m,0.0
Atletico Ottawa,Malcolm Shaw,0,f,0.0
Atletico Ottawa,Olakunle Dada-Luke,0,f,0.0
Atletico Ottawa,Francisco Acuña,0,m,0.0
Atletico Ottawa,Michel Djaozandry,0,m,0.0
Atletico Ottawa,Osah Tetteh,0,m,0.0
Cavalry FC,Marco Carducci,1,g,0.79
Cavalry FC,Dominick Zator,4,d,0.83
Cavalry FC,Nathan Mavila,3,d,0.66
Cavalry FC,Jonathan Wheeldon,14,d,0.38
Cavalry FC,Mason Trafford,5,d,0.33
Cavalry FC,José Escalante,11,m,0.53
Cavalry FC,Elijah Adekugbe,8,m,0.47
Cavalry FC,Sergio Camargo,10,m,0.38
Cavalry FC,Nikolas Ledgerwood,6,m,0.36
Cavalry FC,Nico Pasquotti,17,f,0.64
Cavalry FC,Oliver Minatel,7,f,0.43
Cavalry FC,Mohamed Farsi,0,d,0.0
Cavalry FC,Robert Boskovic,0,d,0.0
Cavalry FC,Bruno Zebie,16,m,0.32
Cavalry FC,Elliot Simmons,15,m,0.27
Cavalry FC,Richard Luca,23,m,0.0
Cavalry FC,Jordan Brown,9,f,0.39
Cavalry FC,José Hernández,20,f,0.27
Cavalry FC,Aribim Pepple,24,f,0.01
FC Edmonton,Connor James,1,g,0.71
FC Edmonton,Mélé Temguia,8,d,0.87
FC Edmonton,Allan Zebie,4,d,0.61
FC Edmonton,Amer Didic,55,d,0.58
FC Edmonton,Jeannot Esua,3,d,0.52
FC Edmonton,Edem Mortotsi,6,m,0.29
FC Edmonton,Yong-Chan Son,7,m,0.28
FC Edmonton,Anthony Caceres,0,m,0.0
FC Edmonton,Chance Carter,0,m,0.0
FC Edmonton,Easton Ongaro,19,f,0.58
FC Edmonton,Tomi Ameobi,18,f,0.41
FC Edmonton,Ramón Soria,5,d,0.52
FC Edmonton,Kareem Moses,12,d,0.34
FC Edmonton,Duran Lee,0,d,0.29
FC Edmonton,Erik Zetterberg,0,m,0.0
FC Edmonton,Hanson Boakai,0,m,0.0
FC Edmonton,Keven Alemán,0,m,0.0
FC Edmonton,Marcus Velado-Tsegaye,17,f,0.16
FC Edmonton,Prince Amanda,16,f,0.07
FC Edmonton,David Doe,26,f,0.04
Forge FC,Triston Henry,1,g,0.72
Forge FC,Daniel Krutzen,5,d,0.71
Forge FC,Kwame Awuah,6,d,0.71
Forge FC,Dominic Samuel,4,d,0.65
Forge FC,Jonathan Grant,2,d,0.34
Forge FC,Kyle Bekker,10,m,0.68
Forge FC,Giuliano Frano,8,m,0.49
Forge FC,Elimane Cissé,3,m,0.43
Forge FC,Alexander Achinioti-Jönsson,13,m,0.4
Forge FC,Christopher Nanco,13,f,0.43
Forge FC,Anthony Novak,23,f,0.39
Forge FC,David Edgar,30,d,0.16
Forge FC,Klaidi Cela,16,d,0.16
Forge FC,Monti Mohsen,22,d,0.13
Forge FC,David Choinière,7,m,0.36
Forge FC,Marcel Zajac,9,f,0.25
Forge FC,Kadell Thomas,17,f,0.22
HFX Wanderers FC,Christian Oxner,50,g,0.54
HFX Wanderers FC,Peter Schaale,2,d,0.63
HFX Wanderers FC,Chrisnovic N'sa,6,d,0.41
HFX Wanderers FC,Alex De Carolis,24,d,0.4
HFX Wanderers FC,Daniel Kinumbe,13,d,0.0
HFX Wanderers FC,Louis Béland-Goyette,5,m,0.55
HFX Wanderers FC,Andre Rampersad,18,m,0.48
HFX Wanderers FC,Scott Firth,15,m,0.11
HFX Wanderers FC,Aboubacar Sissoko,17,m,0.0
HFX Wanderers FC,Akeem Garcia,11,f,0.38
HFX Wanderers FC,Alessandro Riggi,10,f,0.0
HFX Wanderers FC,Eriks Santos,31,d,0.0
HFX Wanderers FC,Jems Geffrard,3,d,0.0
HFX Wanderers FC,Mateo Restrepo,14,d,0.0
HFX Wanderers FC,Alex Marshall,7,m,0.0
HFX Wanderers FC,Cory Bent,15,m,0.0
HFX Wanderers FC,Omar Kreim,8,m,0.0
HFX Wanderers FC,Ibrahima Sanoh,9,f,0.0
HFX Wanderers FC,João Morelli,22,f,0.0
Pacific FC,Nolan Wirth,1,g,0.46
Pacific FC,Kadin Chung,7,d,0.69
Pacific FC,Lukas MacNaughton,6,d,0.51
Pacific FC,Marcel de Jong,17,d,0.03
Pacific FC,Abdoulaye Samake,0,d,0.0
Pacific FC,Marco Bustos,0,m,0.61
Pacific FC,Victor Blasco,23,m,0.52
Pacific FC,Noah Verhoeven,19,m,0.5
Pacific FC,Zachary Verhoven,16,m,0.44
Pacific FC,Terran Campbell,14,f,0.85
Pacific FC,Alejandro Díaz,0,f,0.0
Pacific FC,Jordan Haynes,0,d,0.0
Pacific FC,Thomas Meilleur-Giguère,0,d,0.0
Pacific FC,Matthew Baldisimo,8,m,0.42
Pacific FC,Alessandro Hojabrpour,21,m,0.28
