Rank,GM,playerId,optaPersonId,Min,Age,Position,firstName,lastName,player,team,teamId,optaTeamId,leagueId,league,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade%,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,%PassFwd,Pass%,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttD3,PsAttM3,Pull Back Passes Completed,PsDist,ChlngeLost,Aerial%,Aerials,ExpGAg,Average Shot Distance Open Play,PullBk,BgChnc,BgChncGoal,CrossOpen,Crosses,FwdPassCmp%,DefTouchD3,DefTouchM3,DefTouchA3,Open Play xG,Set Piece XG,NonPenxG,Key Passes,Defensive Blocks,season,seasonId,scatterId,scatterExtra
1,6,7lqj7hx4na2kvl5doan797vmx,250776,540,25,Right Centre Back,Dominick,Zator,D. Zator,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,0,51,21,423,231,120,0.50,1,0,0.38,1,1,2,1,3,3,0,0,34,3,1,1,501,18,2,7,5,22,75.0%,8,3,23,2,1,2,0,5,1,0,2,0,0,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,40,223,238,11,43.5%,83.0%,175,13,163,21,188,214,0,21.1,3,66.7%,24,0.00,0,0,1,1,7,7,69.0%,15,7,0,0.00,0.50,0.50,3,4,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:7lqj7hx4na2kvl5doan797vmx,Canadian Premier League 2020 (Canada)
2,6,d3uo72swkorck8mo41kv1yp61,423548,540,23,Left Centre Back,Daniel,Krutzen,D. Krutzen,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,1,2,1,1,0,0,5,3,0,0,0,3,0,1,0,0,1,1,1,0,0,4,1,51,26,400,227,96,0.87,1,0,0.03,1,0,1,0,1,5,0,0,30,3,0,0,481,22,2,5,15,40,53.8%,18,11,30,1,5,4,0,7,3,0,2,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,14,272,195,5,51.7%,80.8%,144,4,175,5,222,173,0,24.7,6,62.5%,16,0.00,51,0,1,1,4,5,66.2%,35,5,0,0.02,0.85,0.87,1,2,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:d3uo72swkorck8mo41kv1yp61,Canadian Premier League 2020 (Canada)
3,6,b84lif9t7gwlw9ou9izawvumt,40345,540,33,Right Centre Back,David,Edgar,D. Edgar,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,41,20,355,196,98,0.55,0,0,0.11,1,0,0,1,1,3,0,0,21,3,0,0,422,10,3,4,7,42,100.0%,27,16,31,2,1,4,0,3,0,0,2,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,1,10,240,172,4,49.3%,82.8%,138,3,153,4,185,166,0,23.4,0,80.0%,10,0.00,4,0,1,0,0,0,69.7%,41,1,0,0.36,0.18,0.55,1,4,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:b84lif9t7gwlw9ou9izawvumt,Canadian Premier League 2020 (Canada)
4,6,57sscey83fcglkmcrtpp28k5,90727,540,31,Left Centre Back,Ramon,Soria,Soria,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,47,20,364,197,100,0.15,0,0,0.14,0,0,0,2,2,1,0,0,24,0,0,0,421,17,3,6,4,32,56.3%,19,8,32,1,0,5,0,4,0,2,0,0,0,0,0,0,12,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,10,248,163,2,50.3%,81.6%,126,4,167,4,207,153,0,23.9,7,64.7%,17,0.00,0,0,0,0,3,3,67.2%,27,5,0,0.00,0.15,0.15,2,2,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:57sscey83fcglkmcrtpp28k5,Canadian Premier League 2020 (Canada)
4,6,9rwo2uejpeqqkmy6lgacm0ley,481367,540,25,Right Centre Back,Lukas,MacNaughton,L. MacNaughton,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,1,1,0,0,0,6,1,0,0,0,0,0,1,0,0,1,5,1,0,0,0,1,36,24,346,218,68,0.88,1,0,0.20,0,0,1,0,1,2,0,0,36,2,0,0,421,16,3,5,8,39,80.0%,22,10,32,2,4,3,0,5,2,0,1,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,13,269,139,7,42.8%,82.7%,100,3,183,6,215,125,0,23.9,2,70.4%,27,0.00,0,0,0,0,1,1,68.9%,32,7,0,0.00,0.88,0.88,1,3,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:9rwo2uejpeqqkmy6lgacm0ley,Canadian Premier League 2020 (Canada)
6,6,1yufrkhruoxnyg54sxgduilt5,423654,527,24,Right Back,Jeannot,Esua,J. Esua,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,31,8,234,100,95,0.18,0,0,0.45,0,1,0,3,3,21,0,0,33,10,0,0,405,26,1,3,11,36,80.0%,20,10,38,1,2,2,3,7,3,2,0,0,0,0,0,0,12,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,2,8,89,130,186,3,34.6%,83.3%,117,27,51,32,67,135,0,19.9,1,75.0%,8,0.00,0,0,0,0,23,23,67.9%,27,6,3,0.00,0.18,0.18,3,0,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:1yufrkhruoxnyg54sxgduilt5,Canadian Premier League 2020 (Canada)
7,6,cfx0kdkw50a9417og40fqqled,160292,540,28,Right Centre Back,Roger,Thompson,R. Thompson,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,63,16,336,146,111,0.09,0,0,0.18,0,0,0,5,5,1,0,0,27,1,0,0,399,13,5,3,11,44,72.7%,25,13,29,1,1,3,0,0,2,0,2,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,19,203,177,12,54.5%,76.5%,132,4,121,13,158,165,0,24.4,3,81.0%,21,0.00,0,0,0,0,1,1,67.8%,36,8,0,0.00,0.09,0.09,5,2,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:cfx0kdkw50a9417og40fqqled,Canadian Premier League 2020 (Canada)
8,6,br7fuyg4h8gseboweg8wjujft,225054,540,22,Left Centre Back,Thomas,Meilleur-Giguère,T. Meilleur-Giguère,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29,14,335,232,60,0.42,0,0,0.00,0,0,0,0,0,1,0,0,11,1,0,0,395,14,0,2,14,42,50.0%,26,13,27,0,0,2,0,0,0,1,1,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,9,274,112,4,36.4%,87.2%,88,5,199,5,225,105,0,22.9,2,44.4%,18,0.00,0,0,0,0,0,0,70.5%,39,3,0,0.00,0.42,0.42,0,2,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:br7fuyg4h8gseboweg8wjujft,Canadian Premier League 2020 (Canada)
9,6,653qyopyxl1qrfmul2n3m5g16,481743,540,26,Right Back,Morey,Doner,M. Doner,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,233,94,107,0.00,0,0,0.11,0,0,0,3,3,7,1,1,10,2,0,0,377,20,0,2,12,24,50.0%,8,6,29,0,1,4,2,1,0,0,2,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,4,111,114,152,4,31.8%,86.3%,95,57,49,63,62,108,0,16.5,2,37.5%,8,0.00,0,0,0,0,17,17,70.3%,19,4,1,0.00,0.00,0.00,3,1,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:653qyopyxl1qrfmul2n3m5g16,Canadian Premier League 2020 (Canada)
10,6,ddyudctrqh7j4vqoofwg0oull,232384,540,21,Right Back,Malyk,Hamilton,M. Hamilton,Atlético Ottawa,dn8tjhuq0bax4dgixqvluhzze,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,226,86,100,0.00,0,1,0.14,0,0,0,2,2,6,0,0,18,2,0,0,362,24,4,6,9,33,58.8%,11,3,35,6,3,2,0,1,1,0,2,0,1,0,0,0,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,3,95,119,148,2,47.8%,82.3%,89,46,51,50,66,110,0,14.7,7,80.0%,5,0.00,0,0,0,0,22,22,73.1%,24,8,1,0.00,0.00,0.00,1,0,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:ddyudctrqh7j4vqoofwg0oull,Canadian Premier League 2020 (Canada)
