game,s,d,m,hs,as,home,hr,away,ar,csh,csa
II1,1,7,1,0,0,Forge FC,E,Cavalry FC,E,0,0
II2,1,7,1,0,0,Pacific FC,E,FC Edmonton,E,0,0
II3,1,7,1,0,0,York9 FC,E,HFX Wanderers FC,E,0,0
II4,1,7,1,0,0,Atletico Ottawa,E,Valour FC,E,0,0
II5,1,7,1,0,0,Valour FC,E,Forge FC,E,0,0
II6,1,7,1,0,0,HFX Wanderers FC,E,Pacific FC,E,0,0
II7,1,7,1,0,0,FC Edmonton,E,York9 FC,E,0,0
II8,1,7,1,0,0,Cavalry FC,E,Atletico Ottawa,E,0,0
II9,1,7,1,0,0,Forge FC,E,FC Edmonton,E,0,0
II10,1,7,1,0,0,Pacific FC,E,Cavalry FC,E,0,0
II11,1,7,1,0,0,York9 FC,E,Valour FC,E,0,0
II12,1,7,1,0,0,Atletico Ottawa,E,HFX Wanderers FC,E,0,0
II13,1,7,1,0,0,Forge FC,E,York9 FC,E,0,0
II14,1,7,1,0,0,Pacific FC,E,Atletico Ottawa,E,0,0
II15,1,7,1,0,0,Valour FC,E,FC Edmonton,E,0,0
II16,1,7,1,0,0,HFX Wanderers FC,E,Cavalry FC,E,0,0
II17,1,7,1,0,0,York9 FC,E,Pacific FC,E,0,0
II18,1,7,1,0,0,Atletico Ottawa,E,Forge FC,E,0,0
II19,1,7,1,0,0,FC Edmonton,E,HFX Wanderers FC,E,0,0
II20,1,7,1,0,0,Cavalry FC,E,Valour FC,E,0,0
II21,1,7,1,0,0,HFX Wanderers FC,E,Forge FC,E,0,0
II22,1,7,1,0,0,Valour FC,E,Pacific FC,E,0,0
II23,1,7,1,0,0,FC Edmonton,E,Atletico Ottawa,E,0,0
II24,1,7,1,0,0,Cavalry FC,E,York9 FC,E,0,0
II25,1,7,1,0,0,FC Edmonton,E,Cavalry FC,E,0,0
II26,1,7,1,0,0,Atletico Ottawa,E,York9 FC,E,0,0
II27,1,7,1,0,0,Valour FC,E,HFX Wanderers FC,E,0,0
II28,1,7,1,0,0,Forge FC,E,Pacific FC,E,0,0
