team,name,position,tp,number,nationality,dob,image,flag,link,overall,display,p,al,gl,ol
Atlético Ottawa,Antoine Coupland,m,8,11,Canada,2003-12-12,Antoine-Coupland.jpg,Canada.png,https://en.wikipedia.org/wiki/Antoine_Coupland,0.24,Antoine Coupland,0,0,0,0
Atlético Ottawa,Ben McKendry,m,8,22,Canada,1993-03-25,Ben-McKendry.jpg,Canada.png,https://en.wikipedia.org/wiki/Ben_McKendry,0.5,Ben McKendry,0,0,0,0
Atlético Ottawa,Brian Wright,f,9,-,Canada,1995-03-24,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Atlético Ottawa,0.0,Brian Wright,0,0,0,0
Atlético Ottawa,Chris Mannella,m,6,5,Canada,1994-06-07,Chris-Mannella.jpg,Canada.png,https://en.wikipedia.org/wiki/Chris_Mannella,0.27,Chris Mannella,0,0,0,0
Atlético Ottawa,Drew Beckie,d,4,-,Canada,1990-09-30,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Atlético Ottawa,0.0,Drew Beckie,0,0,0,0
Atlético Ottawa,Dylon Powley,g,1,13,Canada,1996-09-05,Dylon-Powley.png,Canada.png,https://en.wikipedia.org/wiki/Dylon_Powley,0.07,Dylon Powley,0,0,0,0
Atlético Ottawa,Evan Brandon John,d,4,4,Canada,1995-01-05,Brandon-John.jpg,Canada.png,https://en.wikipedia.org/wiki/Brandon_John,0.41,Brandon John,0,0,0,0
Atlético Ottawa,Jordan Webb,m,7,-,Canada,1988-03-24,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Atlético Ottawa,0.0,Jordan Webb,0,0,0,0
Atlético Ottawa,Keesean Ferdinand,d,5,-,Canada,2003-08-17,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Atlético Ottawa,0.0,Keesean Ferdinand,0,0,0,0
Atlético Ottawa,Malcolm Isaiah Shaw,f,9,19,Canada,34907,Malcolm-Shaw.jpg,Canada.png,https://en.wikipedia.org/wiki/Atl%C3%A9tico_Ottawa,0.58,Malcolm Shaw,0,0,0,0
Atlético Ottawa,Milovan Kapor,d,5,3,Canada,1991-08-05,Milovan-Kapor.jpg,Canada.png,https://en.wikipedia.org/wiki/Milovan_Kapor,0.37,Milovan Kapor,0,0,0,0
Atlético Ottawa,Miguel Acosta,d,2,-,Spain,1998-03-16,empty.jpg,Spain.png,https://en.wikipedia.org/wiki/Atlético Ottawa,0.0,Miguel Acosta,0,0,0,0
Atlético Ottawa,Rafael Leonardo Núñez Mata,m,7,-,Dominican Republic,2002-01-25,empty.jpg,DominicanRepublic.png,https://en.wikipedia.org/wiki/Atlético Ottawa,0.0,Rafael Nunez,0,0,0,0
Atlético Ottawa,Ryan Telfer,m,11,18,Canada,1994-03-04,Ryan-Tefler.jpg,Canada.png,https://en.wikipedia.org/wiki/Ryan_Telfer,0.69,Ryan Telfer,0,0,0,0
Atlético Ottawa,Shawn-Claud Lawson,m,9,-,Jamaica,1994-01-13,empty.jpg,Jamaica.png,https://en.wikipedia.org/wiki/Atlético Ottawa,0.0,Shawn-Claud Lawson,0,0,0,0
Atlético Ottawa,Teodor Obadal,g,1,-,Serbia,2001-09-08,empty.jpg,Serbia.png,https://en.wikipedia.org/wiki/Atlético Ottawa,0.0,Teodor Obadal,0,0,0,0
Atlético Ottawa,Tevin Shaw,m,6,-,Jamaica,1997-02-24,empty.jpg,Jamaica.png,https://en.wikipedia.org/wiki/Atlético Ottawa,0.0,Tevin Shaw,0,0,0,0
