game,w,s,d,m,hs,as,home,hr,w,d,l,away,ar,w,d,l,csh,csa,combined,venue,links
II1,1,,,,,,Forge FC,E,0,0,0,Cavalry FC,E,0,0,0,0,0,--2020 Forge FC E - E Cavalry FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7st0tt53e4ksjueglfgouulg4/highlights
II2,1,,,,,,York9 FC,E,0,0,0,Atlético Ottawa,E,0,0,0,0,0,--2020 York9 FC E - E Atlético Ottawa,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7sxxjco5mob1kgt5i4e2mw00k/highlights
II3,1,,,,,,HFX Wanderers FC,E,0,0,0,Pacific FC,E,0,0,0,0,0,--2020 HFX Wanderers FC E - E Pacific FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7t269w4kohpnnx91dmg5bwis4/highlights
II4,1,,,,,,Valour FC,E,0,0,0,Cavalry FC,E,0,0,0,0,0,--2020 Valour FC E - E Cavalry FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7t877d5i442n1ar3pg35nz02c/highlights
II5,1,,,,,,Forge FC,E,0,0,0,FC Edmonton,E,0,0,0,0,0,--2020 Forge FC E - E FC Edmonton,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7t5b01x3jsqkkavibyn5aej2s/highlights
II6,2,,,,,,Pacific FC,E,0,0,0,York9 FC,E,0,0,0,0,0,--2020 Pacific FC E - E York9 FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7tas4i6lxq9imfed8t0627m6s/highlights
II7,2,,,,,,Atlético Ottawa,E,0,0,0,Valour FC,E,0,0,0,0,0,--2020 Atlético Ottawa E - E Valour FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7tdd1uok6zk7bgycge748czdg/highlights
II8,2,,,,,,HFX Wanderers FC,E,0,0,0,Forge FC,E,0,0,0,0,0,--2020 HFX Wanderers FC E - E Forge FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7tg0hh0cm7hvex18ezv8bl4pg/highlights
II9,2,,,,,,FC Edmonton,E,0,0,0,Cavalry FC,E,0,0,0,0,0,--2020 FC Edmonton E - E Cavalry FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7tigxj35sgqjbet0qxe22v21g/highlights
II10,3,,,,,,York9 FC,E,0,0,0,Valour FC,E,0,0,0,0,0,--2020 York9 FC E - E Valour FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7tlbzq6emywjn0z9q1pwzwxsk/highlights
II11,3,,,,,,Forge FC,E,0,0,0,Pacific FC,E,0,0,0,0,0,--2020 Forge FC E - E Pacific FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7to1ns52wkgk9irtdbwzdn2ms/highlights
II12,3,,,,,,Atlético Ottawa,E,0,0,0,FC Edmonton,E,0,0,0,0,0,--2020 Atlético Ottawa E - E FC Edmonton,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7tqr229an5mqpjp1qgvl7e0pg/highlights
II13,3,,,,,,Cavalry FC,E,0,0,0,HFX Wanderers FC,E,0,0,0,0,0,--2020 Cavalry FC E - E HFX Wanderers FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7ttg3e5vjj75ni6bxtqwrww7o/highlights
II14,4,,,,,,Pacific FC,E,0,0,0,Valour FC,E,0,0,0,0,0,--2020 Pacific FC E - E Valour FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7tw47791fe2i850ddmt0nthqs/highlights
II15,4,,,,,,York9 FC,E,0,0,0,Forge FC,E,0,0,0,0,0,--2020 York9 FC E - E Forge FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7tyu476shfl4lg1dm54shvt3o/highlights
II16,4,,,,,,FC Edmonton,E,0,0,0,HFX Wanderers FC,E,0,0,0,0,0,--2020 FC Edmonton E - E HFX Wanderers FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7u1iuq4d7judbzn8c1gawxp90/highlights
II17,4,,,,,,Atlético Ottawa,E,0,0,0,Cavalry FC,E,0,0,0,0,0,--2020 Atlético Ottawa E - E Cavalry FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7u47vp82i9898dpktaf5q6psk/highlights
II18,5,,,,,,Valour FC,E,0,0,0,FC Edmonton,E,0,0,0,0,0,--2020 Valour FC E - E FC Edmonton,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7u70ahhsjfxqkqyoibw4kuql0/highlights
II19,5,,,,,,HFX Wanderers FC,E,0,0,0,York9 FC,E,0,0,0,0,0,--2020 HFX Wanderers FC E - E York9 FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7ubxnr535nkdppzi934wdbdhw/highlights
II20,5,,,,,,Cavalry FC,E,0,0,0,Pacific FC,E,0,0,0,0,0,--2020 Cavalry FC E - E Pacific FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7uiktgg1hzmxb1oky4wpsigwk/highlights
II21,5,,,,,,Atlético Ottawa,E,0,0,0,Forge FC,E,0,0,0,0,0,--2020 Atlético Ottawa E - E Forge FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7ufagyfpmg0q5miihyn7181ec/highlights
II22,6,,,,,,FC Edmonton,E,0,0,0,York9 FC,E,0,0,0,0,0,--2020 FC Edmonton E - E York9 FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7ulatzc5xxyaiw5pmjxft1kb8/highlights
II23,6,,,,,,Valour FC,E,0,0,0,HFX Wanderers FC,E,0,0,0,0,0,--2020 Valour FC E - E HFX Wanderers FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7uo653c2y32d06v6dq2as5t04/highlights
II24,6,,,,,,Pacific FC,E,0,0,0,Atlético Ottawa,E,0,0,0,0,0,--2020 Pacific FC E - E Atlético Ottawa,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7uqr7tcyx5axz4fcls8m9stn8/highlights
II25,7,,,,,,Forge FC,E,0,0,0,Valour FC,E,0,0,0,0,0,--2020 Forge FC E - E Valour FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7utday42etwsaaqej3w9gmqz8/highlights
II26,7,,,,,,Cavalry FC,E,0,0,0,York9 FC,E,0,0,0,0,0,--2020 Cavalry FC E - E York9 FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7uw4ffr6e4epa23s5veyr3cpg/highlights
II27,7,,,,,,HFX Wanderers FC,E,0,0,0,Atlético Ottawa,E,0,0,0,0,0,--2020 HFX Wanderers FC E - E Atlético Ottawa,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7uyp0xq7ry9gphpbd0m2m60ic/highlights
II28,7,,,,,,Pacific FC,E,0,0,0,FC Edmonton,E,0,0,0,0,0,--2020 Pacific FC E - E FC Edmonton,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7v18c0lc1p8rx62p3chr1w07o/highlights
II29,8,,,,,,HFX Wanderers FC,E,0,0,0,Forge FC,E,0,0,0,0,0,--2020 HFX Wanderers FC E - E Forge FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/8plkm1srpcwr60o1i31ksltsk/highlights
II30,8,,,,,,Cavalry FC,E,0,0,0,Pacific FC,E,0,0,0,0,0,--2020 Cavalry FC E - E Pacific FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/6pp5y6tmtbxolhpklcv0tx5as/highlights
II31,9,,,,,,Forge FC,E,0,0,0,Pacific FC,E,0,0,0,0,0,--2020 Forge FC E - E Pacific FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/al6itp61bch64gv1bhhncxyqc/highlights
II32,9,,,,,,Cavalry FC,E,0,0,0,HFX Wanderers FC,E,0,0,0,0,0,--2020 Cavalry FC E - E HFX Wanderers FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/cap8cqg4fk34voy1o310hy39w/highlights
II33,10,,,,,,Cavalry FC,E,0,0,0,Forge FC,E,0,0,0,0,0,--2020 Cavalry FC E - E Forge FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/dykc0lh8alwaa1f7yjoh09bf8/highlights
II34,10,,,,,,HFX Wanderers FC,E,0,0,0,Pacific FC,E,0,0,0,0,0,--2020 HFX Wanderers FC E - E Pacific FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/1m8l5iaa0hhjfd9pq3ftmklxw/highlights
II35,11,,,,,,Atlético Ottawa,E,0,0,0,FC Edmonton,E,0,0,0,0,0,--2020 Atlético Ottawa E - E FC Edmonton,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/5mrmbr6tngz69e9qmsn1b845w/highlights
