team,Age,pos,name,overall,Min,Goal,GoalDirFK,GoalHead,Clrnce,Int,TcklMade%,DuelsW%,display
Forge,24.0,lcb,Daniel Krutzen,0.78,961,2,0,1,38,34,65.2,61.0,Daniel Krutzen
Pacific,25.0,rcb,Lukas MacNaughton,0.61,720,1,0,1,29,11,86.7,65.0,Lukas MacNaughton
Cavalry,26.0,rcb,Dominick Zator,0.6,900,1,0,1,21,8,83.3,62.0,Dominick Zator
Valour,28.0,lcb,Andrew Jean-Baptiste,0.53,462,1,0,1,20,8,83.3,59.0,Andrew Jean-Baptiste
Forge,33.0,rcb,David Edward Edgar,0.5,900,0,0,0,53,14,80.0,62.0,David Edgar
HFX Wanderers,28.0,lb,Alex De Carolis,0.5,371,1,1,0,8,5,81.8,68.0,Alex De Carolis
Pacific,23.0,lcb,Thomas Meilleur-Giguère,0.48,900,0,0,0,46,25,62.5,50.0,Thomas Meilleur-Giguère
HFX Wanderers,26.0,lcb,Jems Geffrard,0.48,945,0,0,0,39,15,85.7,60.0,Jems Geffrard
HFX Wanderers,24.0,rcb,Peter Schaale,0.47,900,0,0,0,55,10,73.1,53.0,Peter Schaale
Forge,25.0,lb,Kwame Awuah,0.46,842,1,0,0,12,14,81.5,56.99999999999999,Kwame Awuah
York United,25.0,lcb,Luca Gasparotto,0.46,630,0,0,0,43,14,81.8,68.0,Luca Gasparotto
HFX Wanderers,21.0,rb,Chrisnovic N'Sa,0.42,738,0,0,0,22,17,82.1,60.0,Chris N'sa
Forge,26.0,rb,Dominic Samuel,0.39,721,0,0,0,20,10,80.0,64.0,Dominic Samuel
HFX Wanderers,23.0,lb,Mateo Restrepo,0.39,626,0,0,0,20,17,72.1,59.0,Mateo Restrepo
York United,29.0,rcb,Roger Thompson,0.39,630,0,0,0,28,13,66.7,64.0,Roger Thompson
Valour,20.0,rcb,Julian Dunn-Johnson,0.38,630,0,0,0,22,11,80.0,56.99999999999999,Julian Dunn
Edmonton,24.0,rb,Jeannot Esua,0.38,617,0,0,0,24,12,71.4,64.0,Jeannot Esua
Cavalry,34.0,cd,Mason Trafford,0.38,720,0,0,0,25,11,66.7,56.00000000000001,Mason Trafford
Atlético Ottawa,25.0,rcb,Evan Brandon John,0.37,618,0,0,0,23,8,75.0,62.0,Brandon John
Pacific,34.0,lb,Marcel de Jong,0.36,442,0,0,0,14,10,90.0,68.0,Marcel de Jong
Pacific,22.0,rb,Kadin Chung,0.36,765,0,0,0,12,10,69.7,60.0,Kadin Chung
Edmonton,25.0,rcb,Mélé Temguia,0.35,450,0,0,0,15,12,88.9,59.0,Mélé Temguia
York United,26.0,rb,Morey Doner,0.33,630,0,0,0,10,12,71.4,50.0,Morey Doner
Edmonton,31.0,lcb,Ramon Soria,0.32,630,0,0,0,18,7,50.0,57.99999999999999,Ramon Soria
Cavalry,32.0,cd,Jonathan Wheeldon,0.32,459,0,0,0,23,7,75.0,49.0,Jay Wheeldon
Pacific,24.0,lb,Jordan Haynes,0.31,465,0,0,0,14,7,65.0,63.0,Jordan Haynes
Cavalry,22.0,lcb,Robert Boskovic,0.31,479,0,0,0,7,9,71.4,57.99999999999999,Robert Boskovic
Valour,20.0,lcb,Yohan Le Bourhis,0.3,90,1,0,1,1,0,0.0,56.99999999999999,Yohan Le Bourhis
Edmonton,25.0,rcb,Amer Didic,0.3,241,0,0,0,14,2,80.0,69.0,Amer Didic
Atlético Ottawa,21.0,rb,Malyk Hamilton,0.3,630,0,0,0,12,9,59.1,44.0,Malyk Hamilton
Forge,23.0,rw,David Choinière,0.29,598,1,0,0,3,3,43.8,45.0,David Choinière
York United,23.0,lb,Fugo Segawa,0.28,353,0,0,0,8,7,72.7,56.99999999999999,Fugo Segawa
HFX Wanderers,20.0,rb,Jake Ruby,0.28,312,0,0,0,10,6,65.0,65.0,Jake Ruby
York United,22.0,lb,Diyaeddine Abzi,0.28,438,0,0,0,8,7,72.7,46.0,Diyaeddine Abzi
Valour,27.0,lb,Brett Levis,0.28,383,0,0,0,4,9,70.6,56.99999999999999,Brett Levis
Valour,29.0,rb,Stefan Cebara,0.28,458,0,0,0,6,7,77.8,47.0,Stefan Cebara
Valour,21.0,lb,Federico Peña,0.26,327,0,0,0,4,7,65.0,55.00000000000001,Federico Peña
Forge,25.0,lw,Christopher Lenroy Nanco,0.26,224,2,0,0,1,0,40.0,27.0,Chris Nanco
Forge,27.0,lb,Jordan Dunstan,0.26,254,0,0,0,13,6,66.7,50.0,Jordan Dunstan
Atlético Ottawa,29.0,lcb,Milovan Kapor,0.25,495,0,0,0,26,7,20.0,42.0,Milovan Kapor
