team,name,Min,ExpG,overall,ExpA,Goal,PsOnHfFl,Touches,SucflTkls,Int,DefTouch,Clrnce,Recovery,TchsM3,Aerials,DuelsW%,display,number
for,Daniel Krutzen,90,0.16,0.85,0.05,0.18,4.18,74.18,0.91,3.09,7.91,3.45,4.73,25.09,3.64,5.55,Daniel Krutzen,0.45
cav,Dominick Zator,90,0.06,0.71,0.1,0.1,5.0,81.1,1.2,0.8,4.7,2.1,4.8,35.2,3.9,6.2,Dominick Zator,0.4
hfx,Peter Schaale,90,0.03,0.66,0.06,0.0,3.4,54.3,1.1,1.0,8.7,5.5,3.9,20.4,4.1,5.3,Peter Schaale,0.2
pac,Thomas Meilleur-Giguère,90,0.04,0.64,0.04,0.0,2.6,72.5,0.3,2.5,7.8,4.6,5.4,22.6,2.7,5.0,Thomas Meilleur-Giguère,2.6
for,Kwame Awuah,90,0.01,0.63,0.07,0.11,4.22,69.56,1.78,1.56,5.67,1.33,5.67,28.67,2.44,6.33,Kwame Awuah,0.67
pac,Lukas MacNaughton,90,0.11,0.6,0.02,0.12,4.12,74.0,1.12,1.38,6.75,3.62,5.0,24.5,3.75,8.12,Lukas MacNaughton,0.75
hfx,Mateo Restrepo,90,0.0,0.58,0.03,0.0,5.0,58.29,3.0,2.43,10.57,2.86,5.43,25.29,2.43,8.43,Mateo Restrepo,2.0
pac,Kadin Chung,90,0.0,0.57,0.04,0.0,3.5,80.12,2.12,1.25,5.62,1.5,6.62,36.12,2.0,7.5,Kadin Chung,0.88
hfx,Chrisnovic N'Sa,90,0.02,0.55,0.01,0.0,3.25,63.62,2.0,2.12,8.12,2.75,4.62,24.38,2.12,7.5,Chris N'sa,0.75
hfx,Jems Geffrard,90,0.01,0.51,0.0,0.0,3.1,46.7,0.3,1.5,6.2,3.9,3.7,13.0,2.2,6.0,Jems Geffrard,0.3
yor,Luca Gasparotto,90,0.07,0.51,0.0,0.0,4.0,56.86,0.71,2.0,9.43,6.14,2.86,16.14,4.29,9.71,Luca Gasparotto,1.86
cav,Nathan Mavila,90,0.28,0.5,0.14,0.38,2.75,61.88,0.75,1.25,3.38,0.75,5.25,25.62,2.5,5.62,Nathan Mavila,0.38
yor,Roger Thompson,90,0.01,0.49,0.03,0.0,3.14,65.71,0.57,1.86,7.29,4.0,4.57,29.14,3.86,9.14,Roger Thompson,0.86
cav,Mohamed Farsi,90,0.06,0.47,0.11,0.14,1.86,68.86,1.14,1.57,5.71,1.43,7.0,26.29,2.0,8.57,Mohamed Farsi,3.0
for,Dominic Samuel,90,0.08,0.47,0.03,0.0,2.88,61.38,0.88,1.25,5.88,2.5,3.88,24.25,2.62,8.0,Dominic Samuel,0.5
fce,Jeannot Esua,90,0.13,0.46,0.06,0.0,1.57,67.29,0.43,1.71,6.29,3.43,7.71,29.0,1.57,9.14,Jeannot Esua,0.43
pac,Jordan Haynes,90,0.0,0.46,0.01,0.0,7.2,85.6,1.6,1.4,6.8,2.8,6.0,44.2,4.4,12.6,Jordan Haynes,0.6
cav,Mason Trafford,90,0.04,0.46,0.06,0.0,2.38,64.62,1.0,1.38,5.88,3.12,3.88,23.0,2.38,7.0,Mason Trafford,0.62
fce,Ramon Soria,90,0.02,0.44,0.03,0.0,3.57,69.14,0.71,1.0,5.0,2.57,5.71,27.14,2.86,8.29,Ramon Soria,0.71
val,Julian Dunn-Johnson,90,0.0,0.43,0.01,0.0,2.29,54.0,1.0,1.57,7.29,3.14,4.57,14.71,3.71,8.14,Julian Dunn,0.71
fce,Mélé Temguia,90,0.09,0.41,0.0,0.0,2.8,70.6,2.0,2.4,9.0,3.0,6.8,29.8,2.0,11.8,Mélé Temguia,1.6
pac,Marcel de Jong,90,0.05,0.4,0.15,0.0,4.2,82.0,1.8,2.0,7.0,2.8,4.4,36.0,1.6,13.6,Marcel de Jong,3.4
yor,Morey Doner,90,0.0,0.38,0.04,0.0,3.0,66.71,0.57,1.71,4.14,1.43,5.0,28.57,1.14,7.14,Morey Doner,0.43
