team,name,Min,ExpG,ExpA,Goal,Off,PsOpHfFl,PsAtt,PsOpHfScs,ChncOpnPl,SucflDuels,Touches,DuelLs,Recovery,FlComA3,FlSufM3,Disposs,TchsA3,TouchOpBox,PsCmpA3
Atlético Ottawa,Mohamed Kourouma,90,0.18,0.07,0,3,9,44,24,0,6,70,8,5,0,1,1,36,3,18
Atlético Ottawa,Mohamed Kourouma,90,0.74,0.0,1,1,7,41,17,0,5,56,5,4,1,2,1,18,1,11
Atlético Ottawa,Mohamed Kourouma,77,0.04,0.03,0,1,4,31,21,1,2,51,4,4,0,0,1,26,1,13
Atlético Ottawa,Mohamed Kourouma,90,0.38,0.0,0,0,3,22,12,0,5,49,4,3,0,0,1,21,1,8
Atlético Ottawa,Mohamed Kourouma,90,0.19,0.04,0,0,4,36,18,0,2,47,8,8,1,0,1,19,3,9
Atlético Ottawa,Mohamed Kourouma,90,0.0,0.06,0,0,7,30,10,0,10,45,4,8,1,2,0,15,0,5
Cavalry,Nico Pasquotti,90,0.03,0.0,0,0,8,31,14,0,9,58,7,10,1,1,1,33,0,11
Cavalry,Nico Pasquotti,90,0.6,0.0,0,1,4,29,18,0,7,53,6,3,0,1,1,25,2,9
Cavalry,Nico Pasquotti,89,0.04,0.03,0,0,4,25,13,1,5,44,8,2,1,2,2,24,5,8
Cavalry,Nico Pasquotti,75,0.1,0.0,0,0,6,20,8,0,2,42,6,5,0,0,2,24,3,4
Cavalry,Nico Pasquotti,27,0.03,0.3,0,0,4,18,12,1,6,34,1,2,0,0,0,26,3,10
Cavalry,Nico Pasquotti,45,0.08,0.0,0,0,0,8,4,0,5,22,4,1,0,1,1,14,1,4
Valour,Mastanabal Kacher,90,0.03,0.0,0,1,7,36,14,0,3,50,5,4,0,0,2,23,3,11
Valour,Mastanabal Kacher,78,0.08,0.12,0,1,7,32,13,2,1,43,1,4,0,0,1,12,0,6
Valour,Mastanabal Kacher,86,0.11,0.08,0,1,5,24,15,1,4,42,4,5,0,0,0,29,5,11
Valour,Mastanabal Kacher,66,0.04,0.19,0,0,4,18,7,1,2,29,2,2,0,0,2,15,2,5
Valour,Mastanabal Kacher,14,0.04,0.0,1,0,2,7,3,0,0,10,1,1,0,0,0,5,1,3
Valour,Mastanabal Kacher,26,0.0,0.0,0,0,1,3,1,0,1,6,1,1,0,1,0,2,0,0
HFX Wanderers,João Morelli Neto,78,0.6,0.13,2,0,10,32,19,1,6,50,5,0,0,0,0,28,3,13
HFX Wanderers,João Morelli Neto,63,0.1,0.0,0,0,4,21,3,0,4,34,7,3,1,0,1,7,1,1
HFX Wanderers,João Morelli Neto,71,0.79,0.0,1,0,6,21,8,0,1,31,10,4,1,0,3,14,2,6
HFX Wanderers,João Morelli Neto,22,0.0,0.0,0,0,3,8,2,0,2,17,3,1,1,1,1,9,1,2
HFX Wanderers,João Morelli Neto,4,0.0,0.0,0,0,2,3,1,0,1,4,0,1,0,0,0,1,0,0
Edmonton,Easton Ongaro,90,0.4,0.04,1,1,7,26,11,1,10,48,10,6,0,0,1,30,10,8
Edmonton,Easton Ongaro,45,0.13,0.0,0,2,4,17,8,0,6,28,7,1,0,0,1,14,2,3
Edmonton,Easton Ongaro,90,0.97,0.05,1,0,0,6,4,0,4,26,8,2,1,0,3,16,3,3
Edmonton,Easton Ongaro,90,0.04,0.07,0,1,1,11,6,1,0,20,5,4,1,0,2,11,2,6
Edmonton,Easton Ongaro,61,0.04,0.0,0,1,0,5,4,0,2,12,8,0,0,0,0,10,2,4
Edmonton,Easton Ongaro,29,0.0,0.03,0,0,2,8,5,1,3,12,2,1,0,1,1,8,2,4
Atlético Ottawa,Malcolm Isaiah Shaw,90,0.29,0.0,1,3,4,18,8,0,8,48,11,3,1,3,5,21,5,5
Atlético Ottawa,Malcolm Isaiah Shaw,89,0.4,0.06,0,1,4,21,12,1,9,38,14,2,4,3,2,17,5,7
Atlético Ottawa,Malcolm Isaiah Shaw,90,0.12,0.26,0,1,3,18,8,1,8,37,11,4,2,1,3,17,3,6
Atlético Ottawa,Malcolm Isaiah Shaw,90,0.12,0.07,0,1,1,19,11,1,3,36,3,0,1,0,1,24,3,8
Atlético Ottawa,Malcolm Isaiah Shaw,90,0.0,0.0,0,0,3,13,8,0,4,25,12,1,1,2,0,11,3,4
Atlético Ottawa,Malcolm Isaiah Shaw,56,0.61,0.0,1,0,2,16,8,0,1,22,11,1,0,1,2,13,3,7
Cavalry,Oliver Minatel,90,0.07,0.16,0,0,5,33,20,2,5,46,3,4,0,0,0,23,1,10
Cavalry,Oliver Minatel,71,0.04,0.0,0,1,4,32,8,0,7,45,5,6,1,2,1,13,3,8
Cavalry,Oliver Minatel,80,0.03,0.13,0,1,8,28,18,3,6,36,5,4,0,2,0,19,4,12
Cavalry,Oliver Minatel,64,0.06,0.47,0,1,2,18,10,1,2,26,5,2,0,1,0,9,2,5
Cavalry,Oliver Minatel,84,0.06,0.0,0,0,1,14,9,0,3,24,9,1,1,1,2,13,3,6
Cavalry,Oliver Minatel,45,0.0,0.0,0,0,1,6,2,0,2,9,3,2,0,0,0,3,0,1
HFX Wanderers,Alessandro Riggi,78,0.06,0.48,0,0,7,27,16,2,7,44,7,6,0,0,3,16,1,8
HFX Wanderers,Alessandro Riggi,59,0.0,0.21,0,0,5,19,11,0,2,27,1,1,1,0,0,9,0,4
HFX Wanderers,Alessandro Riggi,32,0.07,0.15,0,0,1,9,7,2,2,18,2,1,0,1,1,9,2,3
HFX Wanderers,Alessandro Riggi,55,0.0,0.0,0,0,3,7,3,0,2,14,7,1,0,1,3,5,0,1
HFX Wanderers,Alessandro Riggi,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HFX Wanderers,Alessandro Riggi,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forge,Marcel Zajac,64,0.14,0.0,0,0,1,24,14,0,6,43,7,4,1,0,3,24,2,13
Forge,Marcel Zajac,45,0.13,0.0,0,0,1,7,2,0,3,16,3,1,0,2,0,7,2,2
Forge,Marcel Zajac,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forge,Marcel Zajac,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forge,Marcel Zajac,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forge,Marcel Zajac,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valour,Federico Peña,90,0.0,0.0,0,0,2,28,9,0,3,43,5,6,2,0,0,7,1,4
Valour,Federico Peña,72,0.02,0.0,0,1,3,18,6,0,2,36,3,2,1,0,0,12,0,5
Valour,Federico Peña,24,0.0,0.0,0,0,1,12,5,0,1,20,2,1,0,0,2,3,1,1
Valour,Federico Peña,41,0.04,0.0,0,0,0,5,3,0,6,19,2,2,0,0,0,7,1,3
Valour,Federico Peña,10,0.0,0.0,0,0,0,6,5,0,2,8,1,1,1,0,0,3,0,3
Valour,Federico Peña,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edmonton,Marcus Velado-Tsegaye,66,0.07,0.0,0,0,6,18,4,0,5,40,7,3,0,2,3,17,2,1
Edmonton,Marcus Velado-Tsegaye,45,0.07,0.0,0,0,0,19,15,0,2,27,0,1,0,0,0,10,2,6
Edmonton,Marcus Velado-Tsegaye,29,0.11,0.0,1,0,1,11,8,0,2,18,1,1,0,1,0,9,1,4
Pacific,Mark Village,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edmonton,Marcus Velado-Tsegaye,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edmonton,Marcus Velado-Tsegaye,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific,Alejandro Díaz Liceága,90,0.13,0.09,0,2,5,27,14,1,2,38,6,2,0,0,2,21,5,10
Pacific,Alejandro Díaz Liceága,67,0.95,1.12,1,2,9,22,8,2,4,33,3,1,0,0,1,17,4,5
Pacific,Alejandro Díaz Liceága,61,0.6,0.05,1,0,4,12,7,1,1,21,3,1,0,0,1,11,4,5
Pacific,Alejandro Díaz Liceága,64,0.0,0.0,0,0,3,11,3,0,2,14,1,0,0,1,0,7,0,3
Pacific,Alejandro Díaz Liceága,18,0.0,0.05,0,0,1,8,4,1,1,9,1,0,0,0,0,5,1,4
Pacific,Alejandro Díaz Liceága,22,0.0,0.0,0,0,0,6,5,0,0,7,1,0,0,0,0,5,0,4
HFX Wanderers,Akeem Garcia,90,0.2,0.08,0,1,1,18,12,2,5,35,9,5,2,1,2,21,5,10
HFX Wanderers,Akeem Garcia,88,0.19,0.0,1,0,4,18,11,0,7,31,7,2,2,4,2,13,4,7
HFX Wanderers,Akeem Garcia,89,0.84,0.0,0,1,3,17,9,0,4,29,3,2,0,3,1,9,5,4
HFX Wanderers,Akeem Garcia,86,0.12,0.04,1,0,2,11,5,1,5,21,3,1,2,3,0,8,1,2
HFX Wanderers,Akeem Garcia,35,0.33,0.0,0,0,1,9,4,0,1,11,1,0,0,0,0,7,2,4
HFX Wanderers,Akeem Garcia,45,0.97,0.0,1,1,2,5,0,0,1,11,1,0,0,0,1,7,3,0
Forge,Kadell Thomas,68,0.64,0.0,0,1,2,14,7,0,9,34,6,8,1,0,1,12,1,2
Forge,Kadell Thomas,63,0.3,0.0,0,0,4,13,7,0,5,31,12,6,1,1,3,16,2,5
Forge,Kadell Thomas,24,0.08,0.03,0,1,1,7,4,1,3,16,5,2,0,0,1,6,1,3
Forge,Kadell Thomas,22,0.0,0.0,0,0,0,4,3,0,2,11,4,1,1,0,0,7,2,3
Forge,Kadell Thomas,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forge,Kadell Thomas,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cavalry,Marcus Haber,82,0.27,0.0,0,0,5,22,11,0,2,33,11,2,4,0,3,16,5,8
