team,name,Min,CleanSheet,overall,PsOnHfFl,Recovery,GoalCncd,GoalCnIBx,Saves,SvClct,SvDive,SvHands,SvInBox,SvOutBox,SvPrdSaf,SvStand,BgChncFace,ExpGAg,display,number
ato,Ignacio Zabal Almazán,90,0.29,0.93,2.71,1.71,1.71,1.43,3.43,1.71,1.43,3.0,2.14,1.29,1.29,1.0,2.57,1.78,Nacho Zabal,0.14
for,Triston Henry,90,0.5,0.76,1.3,0.5,0.8,0.7,2.3,1.1,1.2,2.2,1.6,0.7,1.1,0.4,1.0,0.85,Triston Henry,0.1
pac,Callum Irving,90,0.17,0.74,1.33,2.17,1.33,1.33,3.67,2.33,0.83,3.5,2.67,1.0,0.67,0.83,2.33,1.73,Callum Irving,2.17
val,James Pantemis,90,0.29,0.69,1.14,1.29,1.29,1.14,2.71,0.86,1.57,2.43,2.0,0.71,1.14,0.86,1.71,1.05,James Pantemis,0.14
hfx,Christian Oxner,90,0.29,0.62,1.71,0.43,0.86,0.43,3.14,1.14,1.0,3.0,2.29,0.86,1.29,0.86,0.86,0.85,Christian Oxner,7.14
cav,Marco Carducci,90,0.33,0.56,2.22,1.33,1.11,1.0,1.11,0.33,0.44,1.11,0.67,0.44,0.33,0.22,1.67,0.98,Marco Carducci,0.11
fce,Connor James,90,0.0,0.56,1.5,0.83,2.17,2.0,1.83,1.17,1.17,1.67,1.0,0.83,0.33,0.67,2.33,1.27,Connor James,0.17
hfx,Jason Beaulieu,90,0.0,0.49,2.75,2.5,2.5,2.25,2.5,0.75,1.25,2.0,1.5,1.0,1.5,0.5,2.75,1.25,Jason Beaulieu,0.25
yor,Nathan Ingham,90,0.33,0.47,0.33,1.0,1.0,1.0,2.17,0.33,1.83,2.0,1.33,0.83,1.0,0.33,1.33,1.21,Nathan Ingham,4.83
pac,Nolan Wirth,90,0.25,0.41,4.25,1.25,1.25,1.25,2.25,2.0,0.0,2.25,1.25,1.0,0.25,1.5,1.5,1.1,Nolan Wirth,0.25
for,Baj Maan,90,0.0,0.2,2.0,1.0,2.0,2.0,6.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,4.0,1.56,Baj Maan,31.0
fce,Dylon Powley,90,0.0,0.11,2.0,2.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,0.0,1.0,1.12,Dylon Powley,13.0
yor,Ezequiel Carrasco,90,0.0,0.05,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.1,Ezequiel Carrasco,37.0
