team,name,Min,ExpG,ExpA,Goal,Off,PsOpHfFl,PsAtt,PsOnHfScs,PsOpHfScs,SucflDuels,Touches,DuelLs,DefTouch,Recovery,TchsA3,TchsM3,PsCmpM3,PsCmpA3
York9,Joseph Di Chiara,90,0.13,0.04,0,0,7,102,45,47,6,118,5,5,6,18,80,68,9
York9,Joseph Di Chiara,90,0.94,0.0,2,1,1,39,15,22,11,63,6,10,7,17,26,19,8
York9,Joseph Di Chiara,90,0.87,0.09,1,0,8,42,10,21,7,60,10,2,15,26,23,15,10
York9,Joseph Di Chiara,90,0.09,0.08,0,1,4,34,10,18,5,49,7,1,5,25,19,14,12
York9,Joseph Di Chiara,90,0.11,0.0,0,0,2,26,11,11,4,46,9,7,4,17,18,12,6
Cavalry,Elijah Adekugbe,90,0.03,0.1,0,0,3,69,48,17,9,92,7,4,2,13,54,44,6
Cavalry,Elijah Adekugbe,90,0.03,0.05,0,1,12,60,24,22,4,76,2,3,7,16,56,41,3
Cavalry,Elijah Adekugbe,65,0.0,0.15,0,0,4,54,35,13,4,65,1,2,6,9,33,28,3
Cavalry,Elijah Adekugbe,79,0.0,0.08,0,0,4,41,22,15,5,58,4,4,4,16,37,30,4
Cavalry,Elijah Adekugbe,63,0.05,0.0,0,0,5,30,13,12,5,41,2,1,5,7,31,22,0
Cavalry,Elijah Adekugbe,26,0.05,0.04,0,0,2,21,10,9,3,27,0,3,2,6,15,13,4
Cavalry,Elliot Simmons,90,0.0,0.52,0,0,6,83,40,35,1,88,4,1,8,6,77,67,4
Cavalry,Elliot Simmons,90,0.03,0.0,0,1,10,53,23,13,5,70,7,7,14,8,41,23,6
Cavalry,Elliot Simmons,45,0.0,0.0,0,0,3,25,12,8,2,30,2,1,2,0,17,12,0
Cavalry,Elliot Simmons,25,0.0,0.0,0,0,2,10,6,2,2,15,1,3,1,2,8,6,0
Cavalry,Elliot Simmons,11,0.0,0.0,0,0,2,10,4,3,1,12,3,0,2,1,8,4,1
Cavalry,Elliot Simmons,6,0.0,0.0,0,0,0,3,1,1,0,5,1,0,1,2,2,0,2
Valour,Brett Levis,90,0.03,0.13,0,0,7,55,24,22,7,84,7,5,10,28,34,21,11
Valour,Brett Levis,90,0.04,0.09,0,0,4,47,17,25,8,75,5,5,6,20,35,21,12
Valour,Brett Levis,90,0.0,0.04,0,0,4,30,12,11,2,44,5,5,1,10,25,14,6
Valour,Brett Levis,49,0.0,0.0,0,0,4,25,9,10,2,36,4,7,7,6,17,13,4
Forge,Kyle Bekker,90,0.1,0.08,0,1,10,61,19,30,3,81,4,5,3,39,31,27,18
Forge,Kyle Bekker,90,0.0,0.06,0,0,6,55,19,27,4,68,6,3,8,16,43,31,9
Forge,Kyle Bekker,90,0.43,0.22,1,0,4,40,15,18,0,55,5,1,8,16,28,19,10
Forge,Kyle Bekker,90,0.36,0.0,1,0,2,37,15,14,6,50,5,4,8,11,21,16,5
Forge,Kyle Bekker,80,0.12,0.13,0,1,7,32,11,12,4,46,4,2,8,12,29,18,3
Forge,Kyle Bekker,45,0.0,0.0,0,0,2,27,17,5,3,33,2,2,1,4,24,16,2
Pacific,Matthew Baldisimo,90,0.02,0.03,0,0,12,64,25,22,7,81,7,6,6,7,45,28,6
Pacific,Matthew Baldisimo,90,0.05,0.41,0,1,3,36,22,11,3,54,5,5,6,7,27,16,2
Pacific,Matthew Baldisimo,90,0.0,0.03,0,0,3,41,22,12,4,50,4,5,7,3,31,25,3
Pacific,Matthew Baldisimo,90,0.0,0.12,0,0,7,40,23,10,6,49,3,3,2,5,28,18,5
Pacific,Matthew Baldisimo,80,0.0,0.0,0,0,5,27,7,13,4,31,5,4,3,8,16,12,6
Pacific,Matthew Baldisimo,75,0.05,0.0,0,1,4,20,6,10,3,29,4,1,6,8,17,12,3
Forge,Elimane Cissé,90,0.0,0.85,0,0,6,47,17,23,6,80,7,9,11,25,33,22,13
Forge,Elimane Cissé,90,0.24,0.06,0,2,1,28,12,14,15,57,5,8,5,15,34,20,4
Forge,Elimane Cissé,90,0.0,0.0,0,0,6,32,10,15,6,52,11,3,5,19,23,11,8
Forge,Elimane Cissé,26,0.04,0.0,0,0,2,12,4,6,3,21,1,1,0,12,7,4,5
Forge,Elimane Cissé,11,0.0,0.0,0,0,2,10,5,3,1,15,1,0,2,4,7,4,1
Valour,José Antonio Galán Pedrosa,90,0.06,0.0,0,2,9,67,29,29,7,79,8,5,6,13,55,44,7
Valour,José Antonio Galán Pedrosa,83,0.0,0.0,0,0,4,59,28,26,7,76,6,9,8,6,51,43,2
Valour,José Antonio Galán Pedrosa,23,0.08,0.03,1,0,0,23,9,12,1,26,2,1,2,6,14,13,4
Valour,José Antonio Galán Pedrosa,24,0.0,0.0,0,0,4,11,4,3,0,14,1,2,2,0,9,5,0
Valour,José Antonio Galán Pedrosa,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valour,José Antonio Galán Pedrosa,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valour,Raphael Ohin,90,0.03,0.0,0,0,4,72,28,34,3,78,4,1,8,4,48,41,3
Valour,Raphael Ohin,90,0.06,0.11,0,0,2,51,31,16,2,64,2,7,8,10,21,20,4
Valour,Raphael Ohin,90,0.0,0.0,0,0,2,52,33,15,4,57,1,3,5,3,25,23,2
Valour,Raphael Ohin,86,0.09,0.04,0,0,6,41,19,16,6,56,4,4,3,6,32,21,2
Valour,Raphael Ohin,60,0.04,0.27,0,1,4,29,11,13,4,42,6,4,6,8,28,17,4
Valour,Raphael Ohin,45,0.07,0.0,0,1,3,19,7,9,4,31,1,3,4,7,14,9,4
HFX Wanderers,Aboubacar Sissoko,90,0.0,0.0,0,0,7,62,29,26,6,78,5,2,10,9,50,37,4
HFX Wanderers,Aboubacar Sissoko,80,0.03,0.0,0,1,5,50,19,25,5,63,7,3,5,13,33,26,6
HFX Wanderers,Aboubacar Sissoko,90,0.0,0.0,0,0,6,39,11,18,12,57,9,5,6,17,27,19,5
HFX Wanderers,Aboubacar Sissoko,90,0.0,0.03,0,0,4,41,12,24,4,51,6,2,6,4,39,28,4
HFX Wanderers,Aboubacar Sissoko,90,0.1,0.0,0,2,7,35,11,14,2,49,9,2,6,12,26,15,4
HFX Wanderers,Aboubacar Sissoko,1,0.0,0.0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
Forge,Alexander Achinioti-Jönsson,89,0.0,0.0,0,0,2,69,37,27,7,77,1,5,3,6,52,43,5
Forge,Alexander Achinioti-Jönsson,90,0.08,0.0,0,0,3,47,26,18,2,58,4,6,7,3,33,27,1
Forge,Alexander Achinioti-Jönsson,90,0.0,0.0,0,0,2,40,17,15,7,49,2,2,6,2,26,21,1
Forge,Alexander Achinioti-Jönsson,68,0.85,0.0,1,1,3,30,21,5,6,38,1,3,1,7,15,12,1
Forge,Alexander Achinioti-Jönsson,32,0.0,0.0,0,0,0,13,6,7,1,16,2,2,1,0,11,10,0
Forge,Alexander Achinioti-Jönsson,19,0.0,0.0,0,0,1,6,4,0,1,8,0,2,0,0,5,3,0
HFX Wanderers,Louis Béland-Goyette,90,0.0,0.0,0,0,15,62,26,19,5,76,10,6,8,6,54,33,2
HFX Wanderers,Louis Béland-Goyette,72,0.0,0.03,0,0,10,46,19,16,4,54,5,4,10,12,29,19,6
HFX Wanderers,Louis Béland-Goyette,81,0.03,0.04,0,0,3,30,13,13,6,49,8,5,5,4,34,18,2
HFX Wanderers,Louis Béland-Goyette,90,0.0,0.05,0,0,5,37,18,14,3,43,4,3,3,3,32,23,3
HFX Wanderers,Louis Béland-Goyette,90,0.0,0.02,0,0,3,35,19,13,2,41,7,3,5,4,23,19,4
HFX Wanderers,Louis Béland-Goyette,12,0.0,0.0,0,0,0,3,2,1,1,7,0,3,2,0,4,3,0
Pacific,Zachary Verhoven,90,0.04,0.55,0,1,5,48,25,17,8,76,9,5,2,20,33,24,5
Pacific,Zachary Verhoven,81,0.05,0.41,0,0,6,24,2,16,4,52,12,5,6,36,10,2,13
Pacific,Zachary Verhoven,45,0.08,0.0,0,0,2,18,4,9,5,36,5,4,2,11,14,9,3
Pacific,Zachary Verhoven,26,0.11,0.43,1,1,0,9,2,6,4,20,3,1,1,12,5,2,5
Pacific,Zachary Verhoven,18,0.0,0.0,0,0,1,6,2,3,4,19,2,0,0,13,4,2,2
Pacific,Zachary Verhoven,1,0.0,0.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
Edmonton,Erik Zetterberg,90,0.0,0.0,0,0,8,59,22,27,5,72,5,5,5,10,51,41,2
Edmonton,Erik Zetterberg,90,0.04,0.12,0,1,10,58,19,29,3,70,3,2,5,17,44,31,10
Edmonton,Erik Zetterberg,90,0.05,0.49,0,1,4,43,18,19,4,62,5,4,9,10,51,34,2
Edmonton,Erik Zetterberg,45,0.0,0.05,0,0,6,34,18,9,3,40,3,1,2,2,32,24,0
Edmonton,Erik Zetterberg,90,0.03,0.05,0,1,5,26,10,10,2,39,3,4,3,7,22,14,0
Edmonton,Erik Zetterberg,45,0.04,0.06,0,0,7,26,7,10,0,32,2,2,1,3,25,16,1
Valour,Diego Gutiérrez,90,0.0,0.0,0,0,6,58,23,27,2,72,4,2,11,16,47,36,8
Valour,Diego Gutiérrez,90,0.03,0.0,0,0,9,55,25,20,4,71,4,5,5,13,42,32,5
Valour,Diego Gutiérrez,90,0.03,0.12,0,1,7,56,17,30,4,68,2,5,4,28,29,25,16
Valour,Diego Gutiérrez,66,0.0,0.0,0,0,7,40,18,14,3,50,3,1,8,4,40,23,3
Valour,Diego Gutiérrez,45,0.06,0.0,0,0,2,39,14,23,0,43,3,2,4,7,30,27,5
Valour,Diego Gutiérrez,18,0.0,0.0,0,0,3,16,9,4,3,22,3,0,1,8,8,6,3
Edmonton,Keven Steven Alemán Bustos,90,0.51,0.44,1,0,4,45,14,26,9,72,10,4,4,33,34,24,14
Edmonton,Keven Steven Alemán Bustos,78,0.29,0.0,0,2,5,42,19,16,7,63,6,0,4,24,35,21,12
Edmonton,Keven Steven Alemán Bustos,90,0.1,0.05,0,1,4,34,9,20,5,56,8,2,3,20,33,20,8
Edmonton,Keven Steven Alemán Bustos,90,0.19,0.31,0,2,6,22,4,11,7,43,6,1,2,23,20,10,5
Edmonton,Keven Steven Alemán Bustos,66,0.0,0.04,0,0,3,29,16,10,5,40,3,2,4,7,29,19,4
Edmonton,Keven Steven Alemán Bustos,78,0.05,0.05,0,1,5,19,6,6,7,36,5,2,8,11,23,6,4
Valour,Dante Campbell,76,0.0,0.04,0,0,8,47,13,22,5,72,3,6,10,13,42,22,8
Valour,Dante Campbell,72,0.0,0.0,0,0,4,21,10,5,2,28,7,3,4,3,15,9,2
Valour,Dante Campbell,18,0.0,0.0,0,0,3,6,1,2,0,15,4,1,1,7,6,1,1
Valour,Dante Campbell,13,0.0,0.0,0,0,0,7,3,4,2,12,0,1,1,5,1,1,3
Valour,Dante Campbell,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valour,Dante Campbell,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
York9,Manuel Aparicio,90,0.0,0.09,0,0,8,56,16,28,6,72,4,3,6,19,40,28,10
York9,Manuel Aparicio,90,0.13,0.04,1,1,6,47,11,29,5,71,9,5,5,17,47,34,4
York9,Manuel Aparicio,90,0.07,0.12,1,0,4,52,12,33,6,68,9,6,8,12,46,31,9
York9,Manuel Aparicio,89,0.11,0.09,0,3,5,39,6,26,10,60,7,7,9,18,30,19,11
York9,Manuel Aparicio,81,0.06,0.06,0,1,7,27,6,12,3,42,5,0,6,17,18,10,5
York9,Manuel Aparicio,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético Ottawa,Malyk Hamilton,90,0.0,0.0,0,0,2,46,19,23,3,71,7,7,8,24,24,19,13
Atlético Ottawa,Malyk Hamilton,90,0.0,0.08,0,0,4,45,13,21,3,71,5,8,9,14,21,13,11
Atlético Ottawa,Malyk Hamilton,90,0.0,0.07,0,0,3,32,14,13,2,62,3,4,3,26,23,11,8
Atlético Ottawa,Malyk Hamilton,90,0.0,0.0,0,0,4,38,14,16,6,55,3,7,7,9,30,15,8
Atlético Ottawa,Malyk Hamilton,90,0.0,0.0,0,0,7,31,15,7,3,53,1,5,6,10,24,11,3
