team,name,Min,ExpG,overall,ExpA,Goal,Off,PsOpHfFl,Touches,DefTouch,Recovery,TchsA3,TchsM3,PsCmpM3,PsCmpA3,Pass%,DuelsW%,display,number
pac,Marco Bustos,849,2.68,0.77,2.2,5,8,39,528,7,53,250,237,153,112,85.0,57.0,Marco Bustos,10
pac,Matthew Baldisimo,875,0.14,0.67,0.7,0,3,66,559,53,53,56,324,226,32,80.0,56.0,Matthew Baldisimo,8
hfx,Andre Rampersad,820,0.16,0.67,0.99,0,2,49,531,42,66,97,343,234,47,84.0,58.0,Andre Rampersad,18
for,Paolo Sabak,752,2.5,0.67,1.93,2,8,58,447,19,49,165,199,134,84,78.0,51.0,Paolo Sabak,24
pac,Victor Blasco,644,2.92,0.67,2.16,2,9,57,441,22,46,221,176,97,66,75.0,56.0,Victor Blasco,23
cav,Elijah Adekugbe,638,0.52,0.65,0.64,1,1,53,547,27,42,117,341,256,45,85.0,63.0,Elijah Adekugbe,8
hfx,Aboubacar Sissoko,707,0.28,0.61,0.14,0,3,51,516,40,52,72,295,212,35,82.0,50.0,Aboubacar Sissoko,17
yor,Manuel Aparicio,530,0.44,0.57,0.62,2,6,40,379,22,39,98,221,149,43,79.0,47.0,Manny Aparicio,10
yor,Joseph Di Chiara,540,2.12,0.55,0.27,3,2,29,392,26,38,117,193,148,52,86.0,49.0,Joseph Di Chiara,8
hfx,Louis Béland-Goyette,648,0.15,0.55,0.68,0,2,57,440,35,55,56,268,173,31,79.0,34.0,Louis Béland-Goyette,5
cav,Elliot Simmons,627,0.07,0.54,0.74,0,1,42,457,26,58,57,301,217,33,82.0,37.0,Elliot Simmons,15
fce,Keven Steven Alemán Bustos,537,1.01,0.51,1.61,1,6,34,342,13,29,127,190,110,50,81.0,49.0,Keven Alemán,11
ato,Francisco Javier Acuña Víctor,531,0.38,0.5,1.11,2,0,33,352,14,33,159,166,110,76,84.0,45.0,Francisco Acuña,8
val,Diego Gutiérrez,489,0.12,0.49,0.12,0,1,41,388,21,36,81,240,174,44,84.0,43.0,Diego Gutiérrez,8
ato,Malyk Hamilton,630,0.0,0.48,0.48,0,0,26,427,37,44,108,179,111,54,82.0,44.0,Malyk Hamilton,2
yor,Ryan Telfer,620,1.67,0.48,0.9,0,7,40,317,19,28,160,114,59,41,72.0,53.0,Ryan Telfer,18
hfx,Alex Marshall,583,0.36,0.47,0.98,0,5,37,308,16,37,138,117,65,50,75.0,53.0,Alex Marshall,7
fce,Erik Zetterberg,465,0.2,0.45,0.76,0,3,43,334,18,29,51,238,165,17,80.0,44.0,Erik Zetterberg,21
ato,Víctor Martínez Manrique,540,0.91,0.44,0.0,1,3,40,326,25,29,29,189,124,9,78.0,43.0,Viti Martínez,5
for,David Choinière,598,1.07,0.44,0.66,1,1,29,303,13,31,182,90,49,80,80.0,45.0,David Choinière,7
pac,Jamar Dixon,616,1.38,0.44,0.24,1,2,31,266,32,28,57,165,105,32,79.0,51.0,Jamar Dixon,22
