team,name,Min,ExpG,overall,ExpA,Goal,Off,PsOpHfFl,Touches,DefTouch,Recovery,TchsA3,TchsM3,PsCmpM3,PsCmpA3,Pass%,DuelsW%,display,number
pac,Marco Bustos,90,0.3,0.77,0.24,0.56,0.89,4.33,58.67,0.78,5.89,27.78,26.33,17.0,12.44,9.44,6.33,Marco Bustos,1.11
pac,Matthew Baldisimo,90,0.01,0.67,0.07,0.0,0.3,6.6,55.9,5.3,5.3,5.6,32.4,22.6,3.2,8.0,5.6,Matthew Baldisimo,0.8
hfx,Andre Rampersad,90,0.02,0.67,0.11,0.0,0.22,5.44,59.0,4.67,7.33,10.78,38.11,26.0,5.22,9.33,6.44,Andre Rampersad,2.0
for,Paolo Sabak,90,0.31,0.67,0.24,0.25,1.0,7.25,55.88,2.38,6.12,20.62,24.88,16.75,10.5,9.75,6.38,Paolo Sabak,3.0
pac,Victor Blasco,90,0.42,0.67,0.31,0.29,1.29,8.14,63.0,3.14,6.57,31.57,25.14,13.86,9.43,10.71,8.0,Victor Blasco,3.29
cav,Elijah Adekugbe,90,0.07,0.65,0.09,0.14,0.14,7.57,78.14,3.86,6.0,16.71,48.71,36.57,6.43,12.14,9.0,Elijah Adekugbe,1.14
hfx,Aboubacar Sissoko,90,0.04,0.61,0.02,0.0,0.38,6.38,64.5,5.0,6.5,9.0,36.88,26.5,4.38,10.25,6.25,Aboubacar Sissoko,2.12
yor,Manuel Aparicio,90,0.07,0.57,0.1,0.33,1.0,6.67,63.17,3.67,6.5,16.33,36.83,24.83,7.17,13.17,7.83,Manny Aparicio,1.67
yor,Joseph Di Chiara,90,0.35,0.55,0.05,0.5,0.33,4.83,65.33,4.33,6.33,19.5,32.17,24.67,8.67,14.33,8.17,Joseph Di Chiara,1.33
hfx,Louis Béland-Goyette,90,0.02,0.55,0.1,0.0,0.29,8.14,62.86,5.0,7.86,8.0,38.29,24.71,4.43,11.29,4.86,Louis Béland-Goyette,0.71
cav,Elliot Simmons,90,0.01,0.54,0.11,0.0,0.14,6.0,65.29,3.71,8.29,8.14,43.0,31.0,4.71,11.71,5.29,Elliot Simmons,2.14
fce,Keven Steven Alemán Bustos,90,0.17,0.51,0.27,0.17,1.0,5.67,57.0,2.17,4.83,21.17,31.67,18.33,8.33,13.5,8.17,Keven Alemán,1.83
ato,Francisco Javier Acuña Víctor,90,0.06,0.5,0.19,0.33,0.0,5.5,58.67,2.33,5.5,26.5,27.67,18.33,12.67,14.0,7.5,Francisco Acuña,1.33
val,Diego Gutiérrez,90,0.02,0.49,0.02,0.0,0.2,8.2,77.6,4.2,7.2,16.2,48.0,34.8,8.8,16.8,8.6,Diego Gutiérrez,1.6
ato,Malyk Hamilton,90,0.0,0.48,0.07,0.0,0.0,3.71,61.0,5.29,6.29,15.43,25.57,15.86,7.71,11.71,6.29,Malyk Hamilton,0.29
yor,Ryan Telfer,90,0.24,0.48,0.13,0.0,1.0,5.71,45.29,2.71,4.0,22.86,16.29,8.43,5.86,10.29,7.57,Ryan Telfer,2.57
hfx,Alex Marshall,90,0.06,0.47,0.16,0.0,0.83,6.17,51.33,2.67,6.17,23.0,19.5,10.83,8.33,12.5,8.83,Alex Marshall,1.17
fce,Erik Zetterberg,90,0.04,0.45,0.15,0.0,0.6,8.6,66.8,3.6,5.8,10.2,47.6,33.0,3.4,16.0,8.8,Erik Zetterberg,4.2
ato,Víctor Martínez Manrique,90,0.15,0.44,0.0,0.17,0.5,6.67,54.33,4.17,4.83,4.83,31.5,20.67,1.5,13.0,7.17,Viti Martínez,0.83
for,David Choinière,90,0.15,0.44,0.09,0.14,0.14,4.14,43.29,1.86,4.43,26.0,12.86,7.0,11.43,11.43,6.43,David Choinière,1.0
