team,name,number,position,minutes,goals,chances,assists,shots,s-target,passes,crosses,duels,tackles,overall
ATO,Mohamed Kourouma,9,f,270,1,2,0,11,4,118,10,32,4,0.69
CFC,Nico Pasquotti,17,f,314,0,1,0,6,2,91,11,50,4,0.57
CFC,Oliver Minatel,7,f,260,0,4,1,3,0,82,1,33,4,0.47
ATO,Malcolm Isaiah Shaw,19,f,236,1,2,1,5,2,50,1,36,2,0.46
CFC,Marcus Haber,29,f,197,1,0,0,7,4,51,5,42,1,0.44
CFC,Jordan Brown,9,f,215,3,1,0,5,3,34,3,14,1,0.41
VFC,Shaan Hundal,11,f,116,0,4,2,2,2,21,1,14,0,0.36
HFX,Akeem Garcia,11,f,165,2,1,0,5,4,25,0,12,2,0.36
FCE,Easton Ongaro,19,f,196,1,1,0,4,1,28,4,33,0,0.3
PFC,Terran Campbell,14,f,140,0,2,0,4,0,28,3,21,5,0.3
FFC,Molham Babouli,19,f,118,0,2,1,2,1,41,1,19,2,0.29
FFC,Kadell Thomas,17,f,109,0,1,0,2,1,25,4,31,4,0.28
VFC,Mastanabal Kacher,7,f,202,0,2,0,3,0,63,6,18,0,0.28
HFX,João Morelli Neto,22,f,139,1,0,0,3,2,45,3,23,1,0.28
FFC,Anthony Novak,23,f,152,1,1,0,3,2,46,0,21,0,0.26
FFC,Christopher Nanco,11,f,111,1,0,0,3,2,29,3,24,1,0.26
VFC,Austin Ricci,9,f,154,0,0,0,4,3,23,1,12,1,0.22
Y9,Álvaro Rivero Sánchez,7,f,151,1,1,0,3,2,17,0,12,0,0.22
FFC,Marcel Zajac,9,f,109,0,0,0,3,1,31,2,19,3,0.21
PFC,Alejandro Díaz Liceága,9,f,40,0,2,0,3,1,39,1,13,1,0.19
VFC,Federico Peña,77,f,65,0,0,0,1,0,17,1,11,6,0.17
HFX,Ibrahima Sanoh,9,f,72,1,1,0,2,1,13,1,12,0,0.16
FCE,Tomi Ameobi,18,f,169,0,1,0,1,0,37,0,22,0,0.16
Y9,Lowell Wright,80,f,95,1,0,0,3,1,11,0,8,1,0.15
CFC,Aribim Pepple,24,f,35,0,1,0,1,1,7,0,9,1,0.11
VFC,Daryl Fordyce,16,f,59,0,0,0,3,0,20,1,7,0,0.08
HFX,Alessandro Riggi,10,f,56,0,0,0,0,0,7,1,9,1,0.06
Y9,Jace Kotsopoulos,12,f,28,0,0,0,0,0,7,0,4,2,0.05
FCE,Prince Amanda,16,f,13,0,0,0,0,0,10,3,5,0,0.04
CFC,José Hernández,20,f,8,0,0,0,0,0,5,0,3,2,0.04
ATO,Maksym Kowal,21,f,50,0,0,0,0,0,12,0,11,0,0.04
FFC,Gabriel Wiethaeuper-Balbinotti,20,f,0,0,0,0,1,0,12,0,8,0,0.03
Y9,Gabriel Monteiro Vasconcelos,99,f,54,0,0,0,0,0,8,0,1,0,0.02
FCE,David Doe,26,f,27,0,0,0,0,0,3,0,2,0,0.01
