game,team,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,r,s
I1,Forge FC,3.4,2.48,4.43,2.65,3.43,4.34,3.49,2.34,4.22,2.71,3.68,4.25,3.71,1.72,2,1
I1,York9 FC,4.09,4.06,2.42,2.71,3.46,2.3,3.55,2.83,3.64,1.93,4.76,3.7,4.47,3.45,2,1
I2,Pacific FC,3.49,2.6,2.36,4.09,4.27,2.69,2.51,4.18,1.55,3.42,3.5,2.24,4.85,3.52,3,1
I2,HFX Wanderers FC,3.38,3.48,2.84,2.41,3.36,1.37,3.32,3.42,3.12,4.67,2.67,2.63,4.28,2.19,1,0
I3,Pacific FC,3.17,3.49,2.6,2.39,4.27,2.69,4.18,1.55,3.42,3.5,2.24,4.85,3.52,3.44,1,1
I3,Valour FC,2.42,3.41,3.34,3.33,2.61,3.1,3.55,2.62,3.4,3.17,2.63,4.06,4.26,1.55,3,2
I4,HFX Wanderers FC,3.38,3.48,2.84,2.41,3.36,1.37,3.32,3.42,3.12,4.26,4.67,2.67,2.63,3.11,3,2
I4,Forge FC,3.4,2.48,4.43,2.71,2.65,3.43,4.34,3.49,4.22,2.71,3.68,4.25,3.71,1.72,1,1
I5,Cavalry FC,2.26,2.83,4.7,3.46,3.45,2.38,4.39,3.53,3.68,1.79,3.19,3.36,4.43,3.38,3,2
I5,York9 FC,4.09,4.06,2.42,2.71,3.17,3.21,2.3,2.83,1.93,4.76,3.7,4.47,2.18,3.45,1,1
I6,Valour FC,3.25,3.41,3.34,3.33,2.61,3.1,3.55,2.62,3.4,3.17,2.63,4.06,4.26,1.55,1,1
I6,FC Edmonton,3.36,2.61,2.58,3.32,1.71,3.35,2.52,2.34,2.87,4.61,3.14,2.52,4.15,3.28,3,2
I7,Forge FC,3.4,4.39,2.48,2.71,3.36,2.65,3.43,4.34,3.49,4.22,2.16,2.71,4.25,1.29,3,3
I7,Pacific FC,3.49,2.6,2.39,4.09,4.27,2.69,2.51,1.55,3.42,3.5,4.85,3.52,3.44,0.0,1,0
I8,Cavalry FC,2.26,2.83,4.7,3.46,3.45,2.38,4.39,3.53,3.68,1.79,2.66,4.64,3.36,3.38,3,1
I8,Valour FC,2.42,3.25,4.07,3.41,3.33,3.13,2.61,3.1,3.55,2.62,3.4,3.17,2.63,1.55,1,0
I9,Valour FC,2.42,3.25,4.07,3.34,3.33,3.13,2.61,3.55,3.61,2.62,1.39,3.36,2.46,2.63,3,1
I9,HFX Wanderers FC,3.38,2.4,3.48,2.84,2.41,3.27,1.37,3.32,3.42,2.67,4.67,2.67,2.63,2.19,1,0
I10,Forge FC,3.4,4.39,4.43,2.71,3.36,2.65,3.43,4.34,3.49,4.22,2.71,4.25,1.29,3.71,1,1
I10,Cavalry FC,2.26,2.83,4.7,3.46,3.45,2.38,4.39,3.53,1.79,3.19,2.66,4.64,3.36,3.38,3,2
I11,FC Edmonton,2.61,2.58,3.32,1.71,3.35,2.52,2.34,2.87,4.61,3.14,2.52,4.15,3.28,0.0,2,0
I11,Pacific FC,3.17,4.28,3.49,2.39,4.09,4.27,2.69,2.51,1.55,3.42,3.5,2.24,4.85,3.52,2,0
I12,Valour FC,3.25,3.41,3.34,3.33,4.05,3.13,2.61,3.55,3.61,2.62,2.46,2.63,4.06,1.55,1,0
I12,Forge FC,3.4,4.39,2.48,4.43,2.71,2.65,3.43,3.49,4.22,2.71,3.68,4.25,3.71,1.72,3,2
I13,Pacific FC,4.28,3.49,2.6,4.09,4.27,2.69,2.51,4.18,1.55,3.42,3.5,2.24,4.85,3.52,2,2
I13,York9 FC,4.06,2.42,2.71,3.21,2.3,3.55,2.83,3.64,1.93,4.76,3.7,4.47,2.18,3.45,2,2
I14,Cavalry FC,2.26,2.83,4.7,3.46,3.45,2.38,4.39,3.68,1.79,3.19,2.66,4.64,3.36,3.38,3,1
I14,FC Edmonton,3.36,4.13,3.32,1.71,4.04,3.35,2.52,2.34,4.16,2.87,4.61,2.52,4.41,3.28,1,0
I15,York9 FC,4.06,2.42,2.71,3.21,3.55,2.83,3.64,4.04,2.66,1.93,4.76,3.7,4.47,3.45,1,0
I15,Forge FC,3.4,4.39,2.48,4.43,2.71,3.36,2.65,3.43,4.34,3.49,2.71,3.68,3.71,1.72,3,2
I16,Cavalry FC,3.18,2.26,2.83,4.7,3.46,3.45,2.38,4.39,3.68,4.22,1.79,2.66,4.64,3.38,3,2
I16,HFX Wanderers FC,3.38,2.4,2.84,2.41,1.54,3.27,3.32,3.42,2.67,4.67,2.67,2.63,4.28,2.19,1,0
I17,HFX Wanderers FC,3.38,2.84,3.27,3.36,1.37,3.42,4.26,2.67,4.67,2.67,2.63,0.0,0.0,0.0,2,1
I17,York9 FC,4.06,2.42,2.71,3.21,3.55,2.83,3.64,2.66,1.93,4.76,3.7,3.45,0.0,0.0,2,1
I18,Forge FC,3.4,4.39,2.48,4.43,2.71,2.65,3.43,4.34,4.22,2.71,3.68,2.13,3.71,1.72,3,2
I18,FC Edmonton,3.36,3.32,1.71,4.04,3.35,2.52,2.34,4.16,2.87,4.61,2.52,4.15,4.41,3.28,1,0
I19,HFX Wanderers FC,3.38,3.48,2.84,1.54,3.27,3.36,3.42,4.26,2.67,4.67,2.67,2.63,3.11,4.28,3,2
I19,Pacific FC,4.28,3.48,3.49,2.6,4.09,2.69,2.51,4.18,1.55,3.42,3.5,2.24,4.85,3.52,1,1
I20,FC Edmonton,4.13,3.32,1.71,4.04,3.35,2.52,2.34,4.16,2.87,4.61,2.52,4.15,4.41,3.28,1,0
I20,Valour FC,3.25,4.07,3.41,3.34,3.33,2.61,3.55,3.61,2.62,1.39,3.4,3.17,2.63,4.06,3,1
I21,York9 FC,4.06,2.42,2.71,3.21,3.46,3.55,2.83,3.64,2.66,1.93,4.76,3.7,2.18,3.45,3,1
I21,Pacific FC,3.48,3.49,2.6,2.39,2.69,2.51,4.18,1.55,3.42,3.5,2.24,4.85,3.52,3.44,1,0
I22,FC Edmonton,2.61,2.58,3.32,1.71,4.58,3.35,2.52,2.34,4.16,2.87,4.61,2.52,4.41,0.0,1,0
I22,Cavalry FC,2.83,4.7,3.46,3.45,2.38,4.39,3.53,3.68,1.79,2.33,2.66,4.64,4.43,3.38,3,3
I23,Forge FC,3.4,2.48,4.43,2.71,3.36,2.65,3.43,3.1,2.71,3.68,4.25,2.13,3.71,1.72,3,2
