team,city,province,short,colour,crest,link,wiki,colour1,colour2,cw,cd,cl,coach,country,image,w,d,l,year
Atlético Ottawa,Ottawa,ON,ATO,cpl-ao,Atletico_Ottawa_nav.png,https://atleticoottawa.canpl.ca/,https://en.wikipedia.org/wiki/Atlético_Ottawa,#E4002B,#102f52,2,2,3,Mista,Spain.png,ao-coach.jpg,2,2,3,2021
Cavalry FC,Calgary,AB,CAV,cpl-cfc,cavalry_fc_nav.png,https://cavalryfc.canpl.ca/,https://en.wikipedia.org/wiki/Cavalry_FC,#DA291C,#335525,24,6,10,Tommy Wheeldon Jr.,England.png,cfc-coach.jpg,24,6,10,2021
FC Edmonton,Edmonton,AB,FCE,cpl-fce,FC_Edmonton_nav.png,https://fcedmonton.canpl.ca/,https://en.wikipedia.org/wiki/FC_Edmonton,#004C97,#0c2340,8,9,18,Jeff Paulus,Canada.png,fce-coach.png,8,9,18,2021
Forge FC,Hamilton,ON,FOR,cpl-ffc,Forge_FC_nav.png,https://forgefc.canpl.ca/,https://en.wikipedia.org/wiki/Forge_FC,#DE4405,#53565a,25,9,7,Bobby Smyrniotis,Canada.png,ffc-coach.jpg,25,9,7,2021
HFX Wanderers FC,Halifax,NS,HFX,cpl-hfx,HFX_Wanderers_FC.png,https://hfxwanderersfc.canpl.ca/,https://en.wikipedia.org/wiki/HFX_Wanderers_FC,#41B6E6,#052049,10,14,15,Stephen Hart,TrinidadandTobago.png,hfx-coach.jpg,10,14,15,2021
Pacific FC,Langford,BC,PAC,cpl-pfc,Pacific_FC_nav.png,https://pacificfc.canpl.ca/,https://en.wikipedia.org/wiki/Pacific_FC,#582C83,#00b7bd,4,2,4,Pa-Modou Kah,Norway.png,pfc-coach.png,12,9,17,2021
Valour FC,Winnipeg,MB,VAL,cpl-vfc,Valour_FC_nav.png,https://valourfc.canpl.ca/,https://en.wikipedia.org/wiki/Valour_FC,#7C2529,#b9975b,10,6,19,Rob Gale,Canada.png,vfc-coach.png,10,6,19,2021
York United FC,York Region,ON,Y9,cpl-y9,YU_Primary_Nav.png,https://yorkunitedfc.canpl.ca/,https://en.wikipedia.org/wiki/York_United_FC,#046a38,#003b5c,11,11,13,Jimmy Brennan,Canada.png,y9-coach.jpg,11,11,13,2021
Atlético Ottawa,Ottawa,ON,ATO,cpl-ao,Atletico_Ottawa_nav.png,https://atleticoottawa.canpl.ca/,https://en.wikipedia.org/wiki/Atlético_Ottawa,#E4002B,#102f52,2,2,3,Mista,Spain.png,ao-coach.jpg,2,2,3,2020
Cavalry FC,Calgary,AB,CAV,cpl-cfc,cavalry_fc_nav.png,https://cavalryfc.canpl.ca/,https://en.wikipedia.org/wiki/Cavalry_FC,#DA291C,#335525,24,6,10,Tommy Wheeldon Jr.,England.png,cfc-coach.jpg,24,6,10,2020
FC Edmonton,Edmonton,AB,FCE,cpl-fce,FC_Edmonton_nav.png,https://fcedmonton.canpl.ca/,https://en.wikipedia.org/wiki/FC_Edmonton,#004C97,#0c2340,8,9,18,Jeff Paulus,Canada.png,fce-coach.png,8,9,18,2020
Forge FC,Hamilton,ON,FOR,cpl-ffc,Forge_FC_nav.png,https://forgefc.canpl.ca/,https://en.wikipedia.org/wiki/Forge_FC,#DE4405,#53565a,25,9,7,Bobby Smyrniotis,Canada.png,ffc-coach.jpg,25,9,7,2020
HFX Wanderers FC,Halifax,NS,HFX,cpl-hfx,HFX_Wanderers_FC.png,https://hfxwanderersfc.canpl.ca/,https://en.wikipedia.org/wiki/HFX_Wanderers_FC,#41B6E6,#052049,10,14,15,Stephen Hart,TrinidadandTobago.png,hfx-coach.jpg,10,14,15,2020
Pacific FC,Langford,BC,PAC,cpl-pfc,Pacific_FC_nav.png,https://pacificfc.canpl.ca/,https://en.wikipedia.org/wiki/Pacific_FC,#582C83,#00b7bd,4,2,4,Pa-Modou Kah,Norway.png,pfc-coach.png,12,9,17,2020
Valour FC,Winnipeg,MB,VAL,cpl-vfc,Valour_FC_nav.png,https://valourfc.canpl.ca/,https://en.wikipedia.org/wiki/Valour_FC,#7C2529,#b9975b,10,6,19,Rob Gale,Canada.png,vfc-coach.png,10,6,19,2020
York9 FC,York Region,ON,Y9,cpl-y9-old,York_9_FC_nav.png,https://york9fc.canpl.ca/,https://en.wikipedia.org/wiki/York_United_FC,#78BE20,#003b5c,11,11,13,Jimmy Brennan,Canada.png,y9-coach.jpg,11,11,13,2020
Cavalry FC,Calgary,AB,CAV,cpl-cfc,cavalry_fc_nav.png,https://cavalryfc.canpl.ca/,https://en.wikipedia.org/wiki/Cavalry_FC,#DA291C,#335525,19,5,6,Tommy Wheeldon Jr.,England.png,cfc-coach.jpg,19,5,6,2019
FC Edmonton,Edmonton,AB,FCE,cpl-fce,FC_Edmonton_nav.png,https://fcedmonton.canpl.ca/,https://en.wikipedia.org/wiki/FC_Edmonton,#004C97,#0c2340,8,8,12,Jeff Paulus,Canada.png,fce-coach.png,10,12,8,2019
Forge FC,Hamilton,ON,FOR,cpl-ffc,Forge_FC_nav.png,https://forgefc.canpl.ca/,https://en.wikipedia.org/wiki/Forge_FC,#DE4405,#53565a,19,5,6,Bobby Smyrniotis,Canada.png,ffc-coach.jpg,19,5,6,2019
HFX Wanderers FC,Halifax,NS,HFX,cpl-hfx,HFX_Wanderers_FC.png,https://hfxwanderersfc.canpl.ca/,https://en.wikipedia.org/wiki/HFX_Wanderers_FC,#41B6E6,#052049,6,10,12,Stephen Hart,TrinidadandTobago.png,hfx-coach.jpg,6,10,12,2019
Pacific FC,Langford,BC,PAC,cpl-pfc,Pacific_FC_nav.png,https://pacificfc.canpl.ca/,https://en.wikipedia.org/wiki/Pacific_FC,#582C83,#00b7bd,8,7,13,Michael SilberBauer,Denmark.png,pfc-coach.jpg,8,7,13,2019
Valour FC,Winnipeg,MB,VAL,cpl-vfc,Valour_FC_nav.png,https://valourfc.canpl.ca/,https://en.wikipedia.org/wiki/Valour_FC,#7C2529,#b9975b,8,4,16,Rob Gale,Canada.png,vfc-coach.png,8,4,16,2019
York9 FC,York Region,ON,Y9,cpl-y9-old,York_9_FC_nav.png,https://york9fc.canpl.ca/,https://en.wikipedia.org/wiki/York_United_FC,#78BE20,#003b5c,9,7,12,Jimmy Brennan,Canada.png,y9-coach.jpg,9,7,12,2019
